t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1647508302,556,535,16.852518,1,42.214337,6.000000,9.000000,81.150000,143.580000,202.330000,535.000000
1647508332,557,535,16.833034,1,42.178864,6.000000,9.000000,81.100000,143.520000,202.020000,535.000000
1647508362,559,535,16.794275,1,42.108227,6.000000,9.000000,81.000000,143.400000,201.400000,535.000000
1647508392,560,535,16.773214,1,42.073498,6.000000,9.000000,80.900000,143.340000,201.090000,535.000000
1647508422,562,535,16.731317,1,42.004295,6.000000,9.000000,80.700000,143.220000,200.470000,535.000000
1647508452,563,535,16.710480,1,41.969821,6.000000,9.000000,80.600000,143.160000,200.160000,535.000000
1647508482,565,535,16.665487,1,41.902153,6.000000,9.000000,80.400000,143.040000,199.540000,535.000000
1647508512,566,535,16.644876,1,41.867926,6.000000,9.000000,80.300000,142.980000,199.230000,535.000000
1647508542,568,535,16.602113,1,41.800232,6.000000,9.000000,80.100000,142.860000,198.610000,535.000000
1647508572,569,535,16.581722,1,41.766252,6.000000,9.000000,80.000000,142.800000,198.300000,535.000000
1647508602,571,535,16.542907,1,41.698073,6.000000,9.000000,79.800000,142.680000,197.680000,535.000000
1647508632,572,535,16.522727,1,41.664339,6.000000,9.000000,79.700000,142.620000,197.370000,535.000000
1647508662,574,535,16.482578,1,41.597157,6.000000,9.000000,79.500000,142.500000,196.750000,535.000000
1647508692,575,535,16.460870,1,41.564166,6.000000,9.000000,79.400000,142.440000,196.440000,535.000000
1647508722,577,535,16.422877,1,41.496963,6.000000,9.000000,79.200000,142.320000,195.820000,535.000000
1647508752,578,535,16.406574,1,41.462841,6.000000,9.000000,79.100000,142.260000,195.510000,535.000000
1647508782,580,535,16.367241,1,41.396578,6.000000,9.000000,78.900000,142.140000,194.890000,535.000000
1647508812,581,535,16.345955,1,41.364058,6.000000,9.000000,78.800000,142.080000,194.580000,535.000000
1647508842,583,535,16.307033,1,41.298262,6.000000,9.000000,78.600000,141.960000,193.960000,535.000000
1647508872,584,535,16.285959,1,41.265971,6.000000,9.000000,78.500000,141.900000,193.650000,535.000000
1647508902,586,535,16.247440,1,41.200637,6.000000,9.000000,78.300000,141.780000,193.030000,535.000000
1647508932,587,535,16.229983,1,41.167641,6.000000,9.000000,78.200000,141.720000,192.720000,535.000000
1647508962,589,535,16.188455,1,41.103736,6.000000,9.000000,78.000000,141.600000,192.100000,535.000000
1647508992,590,535,16.166102,1,41.072418,6.000000,9.000000,77.900000,141.540000,191.790000,535.000000
1647509022,592,535,16.118243,1,41.011115,6.000000,9.000000,77.700000,141.420000,191.170000,535.000000
1647509052,593,535,16.094435,1,40.980564,6.000000,9.000000,77.600000,141.360000,190.860000,535.000000
1647509082,595,535,16.047059,1,40.919661,6.000000,9.000000,77.400000,141.240000,190.240000,535.000000
1647509112,596,535,16.023490,1,40.889309,6.000000,9.000000,77.300000,141.180000,189.930000,535.000000
1647509142,598,535,15.976589,1,40.828802,6.000000,9.000000,77.100000,141.060000,189.310000,535.000000
1647509172,599,535,15.953255,1,40.798647,6.000000,9.000000,77.000000,141.000000,189.000000,535.000000
1647509202,601,535,15.906822,1,40.738532,6.000000,9.000000,76.000000,140.840000,188.720000,535.000000
1647509232,602,535,15.883721,1,40.708571,6.000000,9.000000,75.500000,140.760000,188.580000,535.000000
1647509262,604,535,15.837748,1,40.648844,6.000000,9.000000,74.500000,140.600000,188.300000,535.000000
1647509292,605,535,15.814876,1,40.619077,6.000000,9.000000,74.000000,140.520000,188.160000,535.000000
1647509322,607,535,15.769357,1,40.559733,6.000000,9.000000,73.000000,140.360000,187.880000,535.000000
1647509352,608,535,15.746711,1,40.530156,5.500000,9.000000,72.500000,140.280000,187.740000,535.000000
1647509382,610,535,15.701639,1,40.471192,5.000000,9.000000,71.500000,140.120000,187.460000,535.000000
1647509412,611,535,15.679214,1,40.441804,5.000000,9.000000,71.000000,140.040000,187.320000,535.000000
1647509442,613,535,15.634584,1,40.383216,5.000000,9.000000,70.000000,139.880000,187.040000,535.000000
1647509472,614,535,15.612378,1,40.354016,5.000000,9.000000,69.500000,139.800000,186.900000,535.000000
1647509502,616,535,15.568182,1,40.295799,5.000000,9.000000,68.500000,139.640000,186.620000,535.000000
1647509532,617,535,15.546191,1,40.266783,5.000000,9.000000,68.000000,139.560000,186.480000,535.000000
1647509562,626,535,16.199681,0,44.892120,5.000000,9.000000,73.500000,142.380000,211.630000,535.000000
1648104270,6,98,72.333333,46,21.472463,68.000000,97.250000,98.000000,98.000000,98.000000,98.000000
